study_id,paper_title,year,primary_tier,primary_domain_code,T1,T2,T3,T4,role_signature,roles,ontology_implementation_category,consensus_status
S088,Explainable Artificial Intelligence Framework for Predicting Treatment Outcomes in Age-Related Macular Degeneration,2025,ANCHORED,H,1,0,1,0,1010,"T1,T3",Ontology formalism unspecified,human_verified_consensus
S089,ForPKG: A Framework for Constructing Forestry Policy Knowledge Graph and Application Analysis,2025,CONSTRUCTION,L,1,0,0,0,1000,T1,No finer-grained operational detail,human_verified_consensus
S090,From knowledge graph construction to retrieval-augmented generation: a framework for comprehensive e,2026,CORE,B,1,1,0,0,1100,"T1,T2",Ontology formalism unspecified,human_verified_consensus
S091,From questions to insights: how domain-specific semantics boost LLM access to touristic real-time occupancy data,2026,INTERFACE,C,1,1,0,1,1101,"T1,T2,T4",RDF/SPARQL semantic web,human_verified_consensus
S092,Fusing Geoscience Large Language Models and Lightweight RAG for Enhanced Geological Question Answering,2025,WEAKER,M,1,1,0,0,1100,"T1,T2",Ontology formalism unspecified,human_verified_consensus
S093,GRAPH-RAG ENHANCED RETRIEVAL AND MULTI-AGENT COLLABORATIVE METHOD FOR INTELLIGENT NUCLEAR POWER ELECTRICAL DESIGN,2025,CORE,L,1,1,0,1,1101,"T1,T2,T4",RDF/SPARQL semantic web,human_verified_consensus
S094,HEAL-KGGen: A Hierarchical Multi-Agent LLM Framework with Knowledge Graph Enhancement for Genetic Biomarker-Based Medical Diagnosis,2025,CORE,H,1,1,0,0,1100,"T1,T2",Property-graph schema,human_verified_consensus
S095,"Integrating AI-powered knowledge graphs and NLP for intelligent interpretation, summarization, and cross-border financial reporting harmonization",2025,ANCHORED,L,1,1,0,0,1100,"T1,T2",No finer-grained operational detail,human_verified_consensus
S096,Integrating Graph Retrieval-Augmented Generation into Prescriptive Recommender Systems,2025,CORE,I,1,1,0,0,1100,"T1,T2",Property-graph schema,human_verified_consensus
S097,INTELLIGENT IDENTIFICATION AND DECISION SUPPORT SYSTEM FOR TBM CONSTRUCTION RISK SYNERGISTICALLY DRIVEN BY KNOWLEDGE GRAPHS AND LARGE LANGUAGE MODELS,2026,CORE,B,1,1,0,0,1100,"T1,T2",No finer-grained operational detail,human_verified_consensus
S098,KGAgent4CTI: unlocking the power of LLM in threat intelligence,2026,CONSTRUCTION,Y,1,0,0,0,1000,T1,No finer-grained operational detail,human_verified_consensus
S099,Knowledge graph-enhanced pattern language for biodiversity integration in architectural education,2025,CORE,E,1,1,0,0,1100,"T1,T2",Formal ontology/constraints,human_verified_consensus
S100,LLM-Based Natural Language to SPARQL Translation over Domain-Specific Knowledge Graph,2025,INTERFACE,G,1,1,0,0,1100,"T1,T2",RDF/SPARQL semantic web,human_verified_consensus
S101,MetaboT: An LLM-based Multi-Agent Framework for Interactive Analysis of Mass Spectrometry Metabolomics Knowledge,2025,INTERFACE,H,1,1,0,1,1101,"T1,T2,T4",RDF/SPARQL semantic web,human_verified_consensus
S102,Modeling Professional Influence and Hiring Outcomes Using Multimodal Generative AI and Knowledge-GraphAugmented Reasoning,2023,CORE,G,1,1,1,1,1111,"T1,T2,T3,T4",No finer-grained operational detail,human_verified_consensus
S103,OntologyRAG: Better and Faster Biomedical Code Mapping with Retrieval-Augmented Generation (RAG) Leveraging Ontology Knowledge Graphs and Large Language Models,2025,CORE,H,1,1,0,1,1101,"T1,T2,T4",RDF/SPARQL semantic web,human_verified_consensus
S104,OntoSage: Intelligent Human-Building Smartbot for Semantic Smart Building Question Answering,2026,INTERFACE,B,1,1,1,0,1110,"T1,T2,T3",Formal ontology/constraints,human_verified_consensus
S105,PKR-QA: A Benchmark for Procedural Knowledge Reasoning with Knowledge Module Learning,2026,ANCHORED,E,1,1,1,0,1110,"T1,T2,T3",No finer-grained operational detail,human_verified_consensus
S106,Psychological Counseling with Integration of Knowledge Graph and Multi-Agent Collaboration,2024,INTERFACE,H,1,1,0,0,1100,"T1,T2",No finer-grained operational detail,human_verified_consensus
S107,ReaDS-KG: An LLM-Knowledge Graph Framework for Reasoned Decision Support in Dynamic Safety-Critical Domains,2026,CORE,Y,1,1,1,1,1111,"T1,T2,T3,T4",Property-graph schema,human_verified_consensus
S108,SARA: Leveraging LLM Agents and Jurisprudential Ontologies for Automated Legal Reasoning,2026,ANCHORED,L,1,1,0,0,1100,"T1,T2",Ontology formalism unspecified,human_verified_consensus
S109,Semantically-Linked Ontological Knowledge Extraction Graph For Domain-Specific Knowledge Discovery In Scientific Literature,2025,CONSTRUCTION,M,1,1,0,0,1100,"T1,T2",Property-graph schema,human_verified_consensus
S110,Stitching History into Semantics: LLM-Supported Knowledge Graph Engineering for 19th-Century Greek Bookbinding,2025,CONSTRUCTION,C,1,1,1,0,1110,"T1,T2,T3",Property-graph schema,human_verified_consensus
S111,Toward Auditable Urban Soil Management: A Knowledge Graph and LLM Approach Fusing Environmental and Geochemical Data,2026,CORE,M,1,1,0,1,1101,"T1,T2,T4",Ontology formalism unspecified,human_verified_consensus
S112,VaxKG: Integrating The Vaccine Ontology And VIOLIN For Advanced Vaccine Queries And LLM-Powered Chat Systems,2025,CORE,H,1,1,0,0,1100,"T1,T2",Property-graph schema,human_verified_consensus
S113,"Wikontic: Constructing Wikidata-Aligned, Ontology-Aware Knowledge Graphs with Large Language Models",2026,CONSTRUCTION,G,1,1,0,0,1100,"T1,T2",Ontology formalism unspecified,human_verified_consensus
