study_id,public_record_file,public_record_sha256,public_record_bytes,original_frozen_record_file,original_frozen_record_sha256,original_frozen_record_bytes,source_pdf_file_label,source_pdf_sha256,source_pdf_page_count
S011,S011__post-hoc-verification-of-llms-with-knowledge-graphs-for-medical-question-answering.json,c7542e540f3c59c84da453a6780ef220ab9474aeee428cdfe4e419c47f4a00bd,7322,S011__post-hoc-verification-of-llms-with-knowledge-graphs-for-medical-question-answering.json,659e11a774775f801ca0a61467703d050fe3606a4dc54cd7d188dcfd2760a967,6542,Boutra et al. - 2025 - Post-hoc verification of LLMs with knowledge graphs for medical question answering.pdf,d218a7b275927cb93122c6b6fad61b7da7de21a0bcc90c8760c890185f1b9f04,5
S012,S012__recipemasterllm-revisiting-roboearth-in-the-era-of-large-language-models.json,a0709941a615dec1cf8a7155f1008c3cf3e25bd927c8ef32ab078a86cabfa06d,7869,S012__recipemasterllm-revisiting-roboearth-in-the-era-of-large-language-models.json,fe074504cb916906fbdd55a9d48adaa391dfd09ea87f3a9e155f1b189e7adb9a,7582,Bozcuoglu and Liu - 2025 - RecipeMasterLLM revisiting RoboEarth in the era of large language models.pdf,59269562914a0e16a3cb88b888328df9c47222b2425ecc60098eeb747861a976,8
S013,S013__generative-retrieval-augmented-ontologic-graph-and-multiagent-strategies-for-interpretive-la.json,acb69f174f4ad94d884beb9d83fcc1e74c291c1edae6a69d7611d821b8f9b3c1,7908,S013__generative-retrieval-augmented-ontologic-graph-and-multiagent-strategies-for-interpretive-la.json,ab7fef24300d596bc2887b8ea15e8ec65132ca183cf918fd398e6625b6b04744,7685,Buehler - 2024 - Generative retrieval-augmented ontologic graph and multiagent strategies for interpretive large lang.pdf,77c49049d25d5c600b78e7f52e794592d40b79d5c91c23d606416d88db765c61,37
S014,S014__mechgpt-a-language-based-strategy-for-mechanics-and-materials-modeling-that-connects-knowled.json,2243d2234a3166cf4245ecde29fb65c5edf8a26e8921ee3aebfb8fcfba7064b8,6761,S014__mechgpt-a-language-based-strategy-for-mechanics-and-materials-modeling-that-connects-knowled.json,a5e320cf546b34335d457a8529ad1663d50713105e0558c65568c5e485d7128d,6290,"Buehler - 2024 - MechGPT, a language-based strategy for mechanics and materials modeling that connects knowledge acro.pdf",41ea64f77aab6fc031bb64dccf0eddd6181987dea10bc742890f61846766ffe2,82
S015,S015__ontology-enriched-guidelines-retrieval-for-complex-rheumatological-cases.json,dde2ee207e8dd6a602966356d37b8fc46e4a5bc00f9efddb9e57f23d475ef677,6441,S015__ontology-enriched-guidelines-retrieval-for-complex-rheumatological-cases.json,6c0e2ad34675eff3308326edc15d8bd717b1b90e44565d6e6cd61e3a1a43db61,5657,Buonocore et al. - 2026 - Ontology-enriched guidelines retrieval for complex rheumatological cases.pdf,915001d294356b3a15c257b370faa89f5ec104e821f002777e52b9d5a0af98ad,2
S016,S016__reasoning-with-ragged-events-rag-enhanced-event-knowledge-base-construction-and-reasoning-wi.json,c2e856219e49fbaccc532ca7bcfcbf5f751cf63ef419ccf1387ea8c0f1932bdc,7024,S016__reasoning-with-ragged-events-rag-enhanced-event-knowledge-base-construction-and-reasoning-wi.json,4156049f91526ad936ed74f2809b3c1960237d8afdb86ae88efc4c4cccff342a,7189,Chatzikyriakidis - 2025 - Reasoning with RAGged events RAG-enhanced event knowledge base construction and reasoning with proo.pdf,68b051dd8343faeb4fdd9a4c10dea0b6c50c0a59a934a5c5055793ce3a264a61,16
S017,S017__knowledge-pyramid-construction-for-multi-level-retrieval-augmented-generation.json,355416c2158fca9454a72fc4db09762dac88a9e5dcf73bf1040ecf84f546b27d,6978,S017__knowledge-pyramid-construction-for-multi-level-retrieval-augmented-generation.json,324857d8475f1a61350ec6a7086045dc17b64133f8ea14159879b6b14d1b6bef,6815,Chen et al. - 2024 - Knowledge pyramid construction for multi-level retrieval-augmented generation.pdf,4fbd29bb30c7d252ace0398796c0d40e2e0a444ae7c08aef6564458a42d972a4,12
S018,S018__kg-sea-a-self-evolving-framework-for-iterative-knowledge-graph-construction-in-graph-rag-sys.json,2af0bcc5cba3a00f1b030e37c50281f811d267d0a1a35216fae49308b3286e54,6268,S018__kg-sea-a-self-evolving-framework-for-iterative-knowledge-graph-construction-in-graph-rag-sys.json,a96df0a6120e475bf5a043ebee1802599e9904ee16536efc6a4cddd395a23a3a,5482,Chen et al. - 2025 - KG-SEA a self-evolving framework for iterative knowledge graph construction in graph-RAG systems.pdf,f8e00b8fcd25a72d0d340612dad4c773db8130566c6e3162b29d647856233237,8
S019,S019__knowledge-graph-construction-of-large-language-model-retrieval-augmented-generation-for-oil-.json,093d8bb4044800ba6b30767e02386e924c3e9b8018bd62ef73b29e5cafe70215,7692,S019__knowledge-graph-construction-of-large-language-model-retrieval-augmented-generation-for-oil-.json,fe649868b8bb53727c5c2168f837e2dfd96e37fe6dc3c4a89ba118e7addce4f4,6868,Chen et al. - 2025 - Knowledge graph construction of large language model retrieval augmented generation for oil and gas.pdf,4dca5f0fa1a235430e521c8306ba36c97db82eb144ad3d0d87502db783a64843,8
S020,S020__construction-and-evaluation-of-the-knowledge-graph-and-large-model-question-answering-system.json,d25e6a7d0baf06e9d3d4ba4a102d8580b2f21df38427496a4a5a8b7273ba33e6,7361,S020__construction-and-evaluation-of-the-knowledge-graph-and-large-model-question-answering-system.json,86acb6e7e1a46782fd0bd3f9bb10152555ef251ddd2773867ee2cdb56e9ba9d4,7065,Chen et al. - 2026 - Construction and evaluation of the knowledge graph and large model question-answering system for jin.pdf,b39bb2ea2901636a480c0f029b2432d379bb8f9bdf1e406c3b958142f99d8f0f,15
S021,S021__ontology-driven-building-operating-system-integrated-with-large-language-models-for-intuitiv.json,3634dd68f1ae2e8470800ac4d46ccf7563ea363969a687dcfa86c7e9e6c7f306,6694,S021__ontology-driven-building-operating-system-integrated-with-large-language-models-for-intuitiv.json,3bd8785d2264bb605b67360931feba407530065e794d98fbbbe8884ec997748c,5816,Chiba et al. - 2025 - Ontology-driven building operating system integrated with large language models for intuitive buildi.pdf,74157390892b10c63a88dfc80e0d3438d875d62ab0c023faeb3e25d68a9c6efb,6
S022,S022__cross-examine-an-ensemble-based-approach-to-leverage-large-language-models-for-legal-text-an.json,d8ac96c9a7700b26f9cac0db875be626b64b7274d9828d5ecf89b0574003db66,6760,S022__cross-examine-an-ensemble-based-approach-to-leverage-large-language-models-for-legal-text-an.json,e1548a9369b74e45da50441ee0d3c795b5890126cd8ec7241714f8df346b5715,6493,Chowdhury et al. - 2024 - Cross examine an ensemble-based approach to leverage large language models for legal text analytics.pdf,ac2a2f93c980958816f7867bd34d90de459bd2e3ae2cf9bfcd94f4ed238aa4c2,11
S023,S023__enhanced-tracking-and-reporting-of-missing-persons-using-knowledge-graph-and-ontology-engine.json,d0ce4cd1322d4d84122dd3e59ad9f13df60288cade1e74b26461fb5d57177b26,6885,S023__enhanced-tracking-and-reporting-of-missing-persons-using-knowledge-graph-and-ontology-engine.json,85ee8db33caf11f84b64c61270439d6628cf50f89da28a11312d950dbd6dc2b0,6459,Chowdhury et al. - 2025 - Enhanced tracking and reporting of missing persons using knowledge graph and ontology engineering.pdf,8b6a00d59e5a486645626a344c588cc73d453ded38e1ce79fbe4d4d2d4c82804,9
S024,S024__tendergraphrag-an-enhancement-framework-for-question-answering-systems-based-on-a-tendering-.json,d084bf83eee1400a87b13b4956d0ffe2b09a6e2d61a45e44dbc9dc159bfb377c,7042,S024__tendergraphrag-an-enhancement-framework-for-question-answering-systems-based-on-a-tendering-.json,c9139cb524b40e59e4a4f2af2a6a2b8aeef0d78e0ad983c42f1f1ad29bdcee53,6582,Chu et al. - 2025 - TenderGraphRAG an enhancement framework for question answering systems based on a tendering and bid.pdf,4aa9c83d90455d40cf06e11d38540a7a467c84b5188afefbf4300af4443da43c,11
S025,S025__ontologx-ontology-guided-knowledge-graph-extraction-from-cybersecurity-logs-with-large-langu.json,d1bc6c54d08827dc55302b44b569a6cd972408bfb3d6bd377aadde58e88f5250,7597,S025__ontologx-ontology-guided-knowledge-graph-extraction-from-cybersecurity-logs-with-large-langu.json,583804dee77b6c2a4120498e545a3f9d5fa826d05bdca16beedda260e737f93c,6762,Cotti et al. - 2026 - OntoLogX ontology-guided knowledge graph extraction from cybersecurity logs with large language mod.pdf,32879b778053a7f6dc34f6929a8204d134d6226c8666184e874a69997dc1a5e4,24
S026,S026__ontology-learning-and-knowledge-graph-construction-a-comparison-of-approaches-and-their-impa.json,d3415158d435024a794aa9b06193e79eeef8403bba774e69be72c509906675c3,6909,S026__ontology-learning-and-knowledge-graph-construction-a-comparison-of-approaches-and-their-impa.json,fce33439b57c580c33bfc26c7356f8242f02a0dd10286a1bbf31455eaa5a7de6,6230,da Cruz et al. - 2025 - Ontology learning and knowledge graph construction a comparison of approaches and their impact on R.pdf,5a8f51dc47139169eaccd7993d0c8a9f24964767857f22b0b55f9eb0c0ffe5ad,12
S027,S027__neurosymbolic-graph-enrichment-for-grounded-world-models.json,6d1671a4c65729cebe6b21b53faee8c08c925bb1672acb2010c25ea4b54cbd57,7566,S027__neurosymbolic-graph-enrichment-for-grounded-world-models.json,1aa24636de9897083bd5b043ab7f3a3631d045241f14555589d2c7245f7cd12f,7226,De Giorgis et al. - 2025 - Neurosymbolic graph enrichment for grounded world models.pdf,f034eade3755391c37ea002b6bd4a7f20d8075dbcd22da3a015f138d371a6167,22
S028,S028__an-ontology-driven-graph-rag-for-legal-norms-a-structural-temporal-and-deterministic-approac.json,9ae1e452f51de3870f9453a74bd5129e0beb7a9d1e4549a927dc212d5c5b6c15,8292,S028__an-ontology-driven-graph-rag-for-legal-norms-a-structural-temporal-and-deterministic-approac.json,d3ae6cd7d7af6b815c94c2a10f788e2af88d14cb126cfe08ab7871aec686bbae,8079,"De Martim - 2025 - An ontology-driven graph RAG for legal norms a hierarchical, temporal, and deterministic approach.pdf",2fde948a6aa0b8a32ba6ef83b5919c681aae594e15a2c67ba4795f721d1b0ac1,22
S029,S029__meaning-is-all-you-need-moving-from-token-prediction-to-narrative-reasoning.json,1c9891402b0b8488280c4d0e9d1a5d020eb15dedbed7c96e65d7277606186b2f,7353,S029__meaning-is-all-you-need-moving-from-token-prediction-to-narrative-reasoning.json,253bdd586f3abac6b92a1c918c6b843b21cd9fa42eee8efba367c0d18b59bdc9,6946,Derikiants and Mazin - 2026 - Meaning is all you need moving from token prediction to narrative reasoning.pdf,b4ced53dfa64ffea1fbffe04ba7e2b0c51a4e2c243e07ba5fcff1b00b0cdd596,18
S030,S030__extracting-core-meaning-from-legal-queries-using-semantic-technologies.json,f73491cf4f5f0997901c0d1008e2f21515ef63ea5aad73e9a74ede98f4e4d17d,6743,S030__extracting-core-meaning-from-legal-queries-using-semantic-technologies.json,f4307693e45feffc5e553ce8035fc2e7f69aa2e169dd1945c5fdce7f8e6cffd8,6642,Dung et al. - 2025 - Extracting core meaning from legal queries using semantic technologies.pdf,848bd96628bd943b876af55f108de79b821695d928c6fee641f8c9ff77fe5c59,14
S031,S031__ontology-grounded-retrieval-for-auditable-llm-assisted-secure-code-generation.json,4c2480e6b53da065653045a56cea1e7cffd14acb875c458649e5b5eb0215c57c,7313,S031__ontology-grounded-retrieval-for-auditable-llm-assisted-secure-code-generation.json,4e93bcd8e5d7f133aef9e70454bf7cbfefada55cb8c6a79f768e5e6a54aa046b,7201,Farinha - 2026 - Ontology-grounded retrieval for auditable LLM-assisted secure code generation.pdf,e23bee79d63b82e6e4a201d277cbe3a5ce5ea18b3511a3e6badd91f1b24f8bfb,16
S032,S032__fair-graphrag-a-retrieval-augmented-generation-approach-for-semantic-data-analysis.json,dcffbd99513ef6df3d2a4c55c50d32374a526359610aceb2ecc7a5c2751c7dbe,7174,S032__fair-graphrag-a-retrieval-augmented-generation-approach-for-semantic-data-analysis.json,67aa79f3349a4174d984ad17c45c62da8cd856edb8441a245d01b0817ce65134,6548,Flüh et al. - 2025 - FAIR GraphRAG a retrieval-augmented generation approach for semantic data analysis.pdf,1ac13223eb3b840cf52d76815fa498ef0be5bf85e15ad8eea32db79aa74408dc,8
S033,S033__worlddb-a-vector-graph-of-worlds-memory-engine-with-ontology-aware-write-time-reconciliation.json,d4de096484a05635c156b937429061227c76d6162e7300138787eaf34105a2e9,8510,S033__worlddb-a-vector-graph-of-worlds-memory-engine-with-ontology-aware-write-time-reconciliation.json,f8dee368152ff1b88fde6b0e4fdadb26289461300b35cc4434414f6286e33c13,7750,Ganesan - 2026 - WorldDB a vector graph-of-worlds memory engine with ontology-aware write-time reconciliation.pdf,ddad8666fd6341188c1571a082e3a6c67a1a9fd6a855639fa2d0bc708f690b52,16
S034,S034__design-and-implementation-of-a-semiconductor-supply-chain-knowledge-graph-for-developing-a-g.json,871576655b4735631f39085df5ad062bf89c404ce7e544c4f0e81e5901f518f4,6903,S034__design-and-implementation-of-a-semiconductor-supply-chain-knowledge-graph-for-developing-a-g.json,adafb82ffd20370c5e1392ac8b1cf6bf92a5a04ec6645706aa06af60f1e43b2d,6547,Ham et al. - 2026 - Design and implementation of a semiconductor supply chain knowledge graph for developing a GraphRAG-.pdf,b93454b84f1655cfac40c89d7b0d09b8365f6e451bbe30350c0a48c8703c61a5,9
S035,S035__kosmos-ontology-based-knowledge-graph-scaffolding-for-medical-documentation-generation.json,350f6f68b42d8d0cf119bc123c04fdfcd313b3ee5c2b75a61308fec070ae8c34,6830,S035__kosmos-ontology-based-knowledge-graph-scaffolding-for-medical-documentation-generation.json,63bf7213e6dc59d5a2a28d47a636a22aca8e65a4b222959e0fa76901e974fb8e,6301,Henry and Gong - 2026 - KOSMOS ontology-based knowledge graph scaffolding for medical documentation generation.pdf,903f750024c13dbb5a6c417bbaa9555f405209a7a6756a334b6f524ed8324cb8,32
S036,S036__knowledge-graph-based-structural-safety-risk-diagnosis-and-control-of-prestressed-concrete-b.json,97cda1d2390b2226a7c8e26bf1d9f1f6949e6c6e6b20d8b47cfb7b12e39aaedf,7379,S036__knowledge-graph-based-structural-safety-risk-diagnosis-and-control-of-prestressed-concrete-b.json,3c7fcd28a03fcdfd40e7f994e531d7fd40f59f8a036c505ceb05ab2f9ee4a86d,7620,Hu and Sun - 2026 - Knowledge graph-based structural safety risk diagnosis and control of prestressed concrete bridges.pdf,d4220beff0449713690812f4f1304ed2949083efdd6795ed73d6892e4d38a03e,18
S037,S037__on-device-intent-reasoning-for-smart-home-agents-via-ontology-augmented-sllms.json,2461698fb1bdb42e114b3b25b145277e7cc427d4349fa2d0d67c03362a5fe0e1,7582,S037__on-device-intent-reasoning-for-smart-home-agents-via-ontology-augmented-sllms.json,74f9824c55fce8e0703666fdba3a1f6a208813c608a4f70fe04fa15a725d6c57,7122,Jeong and Woo - 2025 - On-device intent reasoning for smart home agents via ontology-augmented sLLMs.pdf,4fd240eaa4fc586751c4f89f13c13f136177de82cefcb05a7a41ad4ceddcc554,18
S038,S038__enhancing-llm-based-question-answering-through-isolated-contextual-knowledge-graphs.json,325cf3cde0831069f496ef8c17c9fcd0b9b98d94f456d85b6b9b5da38780790c,6566,S038__enhancing-llm-based-question-answering-through-isolated-contextual-knowledge-graphs.json,a91c29bacd881470fdf1837e8543081cd9a34b70d193614402778e00a27a68eb,5810,Joglekar et al. - 2026 - Enhancing LLM-based question answering through isolated contextual knowledge graphs.pdf,5b6f52947c7ed3a20e59229cc984066caf1698726cb2ef473929a729c92bf453,6
S039,S039__enhancing-patient-empowerment-and-health-literacy-integrating-knowledge-graphs-with-language.json,42074827a5baf51c6202da993ca0aeeac934a75e4ab22c2ab492fd5f71599d87,7386,S039__enhancing-patient-empowerment-and-health-literacy-integrating-knowledge-graphs-with-language.json,b58c931e6e8b44ed6935455e4a6c056cd83c54dbda92d71fe5d377d3e874275e,6582,Kakalou et al. - 2024 - Enhancing patient empowerment and health literacy integrating knowledge graphs with language models.pdf,78f33f6845fb9de50c41904e63043e376b55db4b71b29a5f6711e3ee6dc0319f,5
S040,S040__integrating-iot-large-language-models-and-knowledge-graphs-for-future-smart-districts-a-sema.json,8a6993fe2d673d10774cb98a0cacdf18a55008b411f940dfe9698a010c104bda,6778,S040__integrating-iot-large-language-models-and-knowledge-graphs-for-future-smart-districts-a-sema.json,054ea10cdca3cc63d31395a8d356678c2981594a82c9615ce73bfc3fafdbfb86,6021,"Karjou et al. - 2025 - Integrating IoT, large language models, and knowledge graphs for future smart districts a semantic.pdf",862b7aa4c12fd9c580f92513f8e742c2c480b4c11a88b4991b518e26f6598982,9
S041,S041__semantic-enrichment-of-the-quantum-cascade-laser-properties-in-text-a-knowledge-graph-genera.json,57257c26655c1659c14655b4ebeeda6c3bb7e698f44acba3de0b0761c3155427,8947,S041__semantic-enrichment-of-the-quantum-cascade-laser-properties-in-text-a-knowledge-graph-genera.json,97d77f05201da04456e53711857615f9d7282e7dc30d95be10348679096086c8,8856,Kerre et al. - 2024 - Semantic enrichment of the quantum cascade laser properties in text- a knowledge graph generation ap.pdf,5d68fc1d9f26a414f21bdf4b3134722340a8bb7d5818911e9ff6afbb123ffee3,21
S042,S042__from-human-experts-to-machines-an-llm-supported-approach-to-ontology-and-knowledge-graph-con.json,2a38b93884a1c6bb5e690658953714cf6f5b0e33195525aea667a03d3f14c762,6717,S042__from-human-experts-to-machines-an-llm-supported-approach-to-ontology-and-knowledge-graph-con.json,11b9194450af6bd651a8ff4c3c0cb432428bee6d06f65ba84a537d4d64afd735,6496,Kommineni et al. - 2024 - From human experts to machines an LLM supported approach to ontology and knowledge graph constructi.pdf,8fb8621f32d491b832370317633647fd402b054609e9b031652a646ef6b0320d,10
S043,S043__naturekg-an-ontology-and-knowledge-graph-for-nature-finance-with-a-text2cypher-application.json,150a3dbebe5f9c7e2960589d74782e475a0468540f1f3765f2ad86d2c812dab4,6690,S043__naturekg-an-ontology-and-knowledge-graph-for-nature-finance-with-a-text2cypher-application.json,7935e126992a9cc3d863fd820a18a8738e47b8499f88a49fe304be136535fee0,6388,Kushwaha et al. - 2025 - NatureKG an ontology and knowledge graph for nature finance with a Text2Cypher application.pdf,d08ce54e858a3dcf008e3734961d9f5cf67d14ca667b4e80859c393f9ffb9393,11
S044,S044__building-a-knowledge-graph-to-enrich-chatgpt-responses-in-manufacturing-service-discovery.json,bb929e4d71158cdbfb864059c8c46e4cf94dcb8ce0d1aee465d5b06a6f4592a2,6545,S044__building-a-knowledge-graph-to-enrich-chatgpt-responses-in-manufacturing-service-discovery.json,cea7a1b8aa08a2a91d3956bf34a13f8caa0ef1d9b1729c3d9279e360c26c3715,5575,Li and Starly - 2024 - Building a knowledge graph to enrich ChatGPT responses in manufacturing service discovery.pdf,108c608db2fd7aa168b0bb600078ae0266b03ac37dea35f552c87db377158590,27
S045,S045__a-knowledge-graph-and-large-language-model-based-question-answering-system-for-aviation-huma.json,0f4394a3a045b79a71533d601c194012f077a46cf5160ce534dede9245faa549,6721,S045__a-knowledge-graph-and-large-language-model-based-question-answering-system-for-aviation-huma.json,bec7759ad1a6e68340974bf84e48025ef9c2193e74aa8f5e1c84c85498ec43d4,6264,Li et al. - 2025 - A knowledge graph and large language model-based question answering system for aviation human factor.pdf,13a110424cafa3f94be93a532fe2b98c51d54a540b4a65ee6f4a2f326a7f0b56,6
S046,S046__agentic-kgr-co-evolutionary-knowledge-graph-construction-through-multi-agent-reinforcement-l.json,0e79536aa7d970e2242308b7f508b52da79dcea0a9741924caba158d9bf0a91b,7975,S046__agentic-kgr-co-evolutionary-knowledge-graph-construction-through-multi-agent-reinforcement-l.json,402910d3152df6189fa4c69485e325cb29b7b5c7794489772a5c3384e376f601,7313,Li et al. - 2025 - Agentic-KGR Co-evolutionary knowledge graph construction through multi-agent reinforcement learning.pdf,8536ad47bd82f8bfdfd42c729ba3d54e5b5b86a021013e60a8a778d3518410e1,41
S047,S047__artificial-intelligence-leading-traditional-chinese-medicine-higher-education-digitalization.json,0a8762145bf8818eca450ced4036cb03c6a395ea04f134d5c2311d3c1ae76bbf,7128,S047__artificial-intelligence-leading-traditional-chinese-medicine-higher-education-digitalization.json,7e91ce2c2677ce98d52d94dbeb01183d2f483b42a12cab06179048a7e011a1f7,6540,Li et al. - 2025 - Artificial intelligence leading traditional chinese medicine higher education digitalization develop.pdf,e2ade3fab255f0b85e0313102072f2902bb40d57efee4c935d85f647b5249a86,6
S048,S048__integrating-graph-retrieval-augmented-generation-with-large-language-models-for-supplier-dis.json,19ab171d70679d3b13659b85baf380216269591966bb4f559dd219458f79dd67,6792,S048__integrating-graph-retrieval-augmented-generation-with-large-language-models-for-supplier-dis.json,1fbb30ca7e006c41571a5aa932f2684337e1407ca59cd2fa49ff9849358ba3ec,5917,Li et al. - 2025 - Integrating graph retrieval-augmented generation with large language models for supplier discovery.pdf,35396916765ad3a76e1f9715fa936d160f5253f1d74f151b44df05d981dcbc73,12
S049,S049__research-on-the-construction-and-application-of-a-water-conservancy-facility-safety-knowledg.json,0ce25f1fbce0ab718cb456113e95e014ed139cdcab56394b89a0b98b09979ec0,7393,S049__research-on-the-construction-and-application-of-a-water-conservancy-facility-safety-knowledg.json,f9fe44d13872901d458b15ffb899d56260ccf2946e19b364eb2d30d6822e09c7,6955,Li et al. - 2026 - Research on the construction and application of a water conservancy facility safety knowledge graph.pdf,ea973224f671e09b0c11dde0d2131c8e9e891e68fbffc4e567a25415f3e8be2b,20
S050,S050__distributed-incremental-ontology-reasoning-over-dynamic-t-boxes.json,d10234006b13eeb8c0e8b6b828351aa6dbe87896b2e7a523f37cef55f9fdc938,7003,S050__distributed-incremental-ontology-reasoning-over-dynamic-t-boxes.json,225985b6a4b72ff9c898b5e0a32b7c376784931fab862b403a839570fa6e9fd6,6651,Lima Carneiro Alves De et al. - 2024 - Distributed incremental ontology reasoning over dynamic T-boxes.pdf,b452f6f63bd4c2088327c19ff42a9866555f52f6c5acc5fbcf7ca9cc36fcee49,6
