study_id,public_record_file,public_record_sha256,public_record_bytes,original_frozen_record_file,original_frozen_record_sha256,original_frozen_record_bytes,source_pdf_file_label,source_pdf_sha256,source_pdf_page_count
S011,S011__post-hoc-verification-of-llms-with-knowledge-graphs-for-medical-question-answering.json,f0aca1e4d0e43a5f727564ddca169417a1da103391031c3ea91e2ea36bd95212,6572,S011__post-hoc-verification-of-llms-with-knowledge-graphs-for-medical-question-answering.json,2600826609acc5b4ae5911b425e17299d187ff3ba2c2fd6455b534b97464fb6f,6208,Boutra et al. - 2025 - Post-hoc verification of LLMs with knowledge graphs for medical question answering.pdf,d218a7b275927cb93122c6b6fad61b7da7de21a0bcc90c8760c890185f1b9f04,5
S012,S012__recipemasterllm-revisiting-roboearth-in-the-era-of-large-language-models.json,6c6cc0f907a9f8f17202d3a232b52b982746f16ed090a91b03cfcb4ad2679fdb,6183,S012__recipemasterllm-revisiting-roboearth-in-the-era-of-large-language-models.json,09f0d195c409bba65c1a855e8c3d24c094e05d35effc48a91825473eafda0fea,5694,Bozcuoglu and Liu - 2025 - RecipeMasterLLM revisiting RoboEarth in the era of large language models.pdf,59269562914a0e16a3cb88b888328df9c47222b2425ecc60098eeb747861a976,8
S013,S013__generative-retrieval-augmented-ontologic-graph-and-multiagent-strategies-for-interpretive-la.json,5436de1fb4a484be276a8b3642e5ab1c46e0928d54de6a4e11c5b27211aa3b1f,7235,S013__generative-retrieval-augmented-ontologic-graph-and-multiagent-strategies-for-interpretive-la.json,e23c73d700513f62262bcda444f53d9f09cb5806b62cfc6617f9e9876d352da3,7168,Buehler - 2024 - Generative retrieval-augmented ontologic graph and multiagent strategies for interpretive large lang.pdf,77c49049d25d5c600b78e7f52e794592d40b79d5c91c23d606416d88db765c61,37
S014,S014__mechgpt-a-language-based-strategy-for-mechanics-and-materials-modeling-that-connects-knowled.json,adc7f7bc2c0166f82e8daf29d85711569167b891920fd42876540f9aeb6d5280,6621,S014__mechgpt-a-language-based-strategy-for-mechanics-and-materials-modeling-that-connects-knowled.json,10044468c7f81a859f3f46d21ca514f2647017685fcfeb60e558373054bcefbf,6088,"Buehler - 2024 - MechGPT, a language-based strategy for mechanics and materials modeling that connects knowledge acro.pdf",41ea64f77aab6fc031bb64dccf0eddd6181987dea10bc742890f61846766ffe2,82
S015,S015__ontology-enriched-guidelines-retrieval-for-complex-rheumatological-cases.json,b079bdcf9f855c11a1b1817e2a2ec120ab9a59cbfb52983ec2404d64c8536825,5815,S015__ontology-enriched-guidelines-retrieval-for-complex-rheumatological-cases.json,62c8dd388f6b757305600c95b32a130d2fbbead7d852c69c78165edc5f5f4647,5043,Buonocore et al. - 2026 - Ontology-enriched guidelines retrieval for complex rheumatological cases.pdf,915001d294356b3a15c257b370faa89f5ec104e821f002777e52b9d5a0af98ad,2
S016,S016__reasoning-with-ragged-events-rag-enhanced-event-knowledge-base-construction-and-reasoning-wi.json,9c20ea942f3a8c66c658124f347a92f157b2f057898731b801116d985af2911f,6632,S016__reasoning-with-ragged-events-rag-enhanced-event-knowledge-base-construction-and-reasoning-wi.json,27ebd6b2db801280e6171816f7f86c4625ac2074c89fff545f80f22c6c7895c0,6717,Chatzikyriakidis - 2025 - Reasoning with RAGged events RAG-enhanced event knowledge base construction and reasoning with proo.pdf,68b051dd8343faeb4fdd9a4c10dea0b6c50c0a59a934a5c5055793ce3a264a61,16
S017,S017__knowledge-pyramid-construction-for-multi-level-retrieval-augmented-generation.json,aa3e32623c985dad8749ad3b5d8af2be0e66acad810a759d37a9cc6ef0b198a4,7491,S017__knowledge-pyramid-construction-for-multi-level-retrieval-augmented-generation.json,3c5bba7917e1bf3b0593a43943411336e71ef32928c080b6eb5a000b8da598be,7366,Chen et al. - 2024 - Knowledge pyramid construction for multi-level retrieval-augmented generation.pdf,4fbd29bb30c7d252ace0398796c0d40e2e0a444ae7c08aef6564458a42d972a4,12
S018,S018__kg-sea-a-self-evolving-framework-for-iterative-knowledge-graph-construction-in-graph-rag-sys.json,506bfa0a5e76c3fd5a5d9911fecc3a44228f1d9296c36a7c45f78537a1c7aac3,5405,S018__kg-sea-a-self-evolving-framework-for-iterative-knowledge-graph-construction-in-graph-rag-sys.json,68ed0a7c5b02f666a0731fccfceb8e89aec123dfc0992bcc768a247de6ca421f,4600,Chen et al. - 2025 - KG-SEA a self-evolving framework for iterative knowledge graph construction in graph-RAG systems.pdf,f8e00b8fcd25a72d0d340612dad4c773db8130566c6e3162b29d647856233237,8
S019,S019__knowledge-graph-construction-of-large-language-model-retrieval-augmented-generation-for-oil-.json,a743c2e8be75559751dd88303dfab9912de6c4d5bfb7cc29165d83fbd906219d,6312,S019__knowledge-graph-construction-of-large-language-model-retrieval-augmented-generation-for-oil-.json,9e6a5e898394d3787ed5059623b49847cc59493c37c9f9a0087acea593a489d1,5565,Chen et al. - 2025 - Knowledge graph construction of large language model retrieval augmented generation for oil and gas.pdf,4dca5f0fa1a235430e521c8306ba36c97db82eb144ad3d0d87502db783a64843,8
S020,S020__construction-and-evaluation-of-the-knowledge-graph-and-large-model-question-answering-system.json,3d1e9ffaa6354090e544d058c5b8e790f0b324ac24884b183e34c0bfec34ed46,6489,S020__construction-and-evaluation-of-the-knowledge-graph-and-large-model-question-answering-system.json,3b4fa08317b347f21b3aab5a3693c7d6b819aa058dad62a38482d4fb8a2a6c03,5716,Chen et al. - 2026 - Construction and evaluation of the knowledge graph and large model question-answering system for jin.pdf,b39bb2ea2901636a480c0f029b2432d379bb8f9bdf1e406c3b958142f99d8f0f,15
S021,S021__ontology-driven-building-operating-system-integrated-with-large-language-models-for-intuitiv.json,163dd14f17ccfd6de91119a8c7c18b4a0c69cd137d264647e46953a44698cc93,6122,S021__ontology-driven-building-operating-system-integrated-with-large-language-models-for-intuitiv.json,7084f55ed8bd9d856a5f189838dec827942386b05dece0397705fe09be79bda2,5266,Chiba et al. - 2025 - Ontology-driven building operating system integrated with large language models for intuitive buildi.pdf,74157390892b10c63a88dfc80e0d3438d875d62ab0c023faeb3e25d68a9c6efb,6
S022,S022__cross-examine-an-ensemble-based-approach-to-leverage-large-language-models-for-legal-text-an.json,2992e6575e0fbfe4f1653770fae3df6090a32b3062e1cb79af62a05be649d035,6033,S022__cross-examine-an-ensemble-based-approach-to-leverage-large-language-models-for-legal-text-an.json,32f4ce5d7a51d4177e0dc281d187cac94ce2bbe964e0de58c6b24a9fc63d539b,5155,Chowdhury et al. - 2024 - Cross examine an ensemble-based approach to leverage large language models for legal text analytics.pdf,ac2a2f93c980958816f7867bd34d90de459bd2e3ae2cf9bfcd94f4ed238aa4c2,11
S023,S023__enhanced-tracking-and-reporting-of-missing-persons-using-knowledge-graph-and-ontology-engine.json,a843ce7c666f3e6347fd4d735db5296d057df84a65dea546f3f875dd85f2fb40,6232,S023__enhanced-tracking-and-reporting-of-missing-persons-using-knowledge-graph-and-ontology-engine.json,9d6e21ca76cfaa13394d4367e89a281fed6a6db31c577fe068a121263acc2ccd,5796,Chowdhury et al. - 2025 - Enhanced tracking and reporting of missing persons using knowledge graph and ontology engineering.pdf,8b6a00d59e5a486645626a344c588cc73d453ded38e1ce79fbe4d4d2d4c82804,9
S024,S024__tendergraphrag-an-enhancement-framework-for-question-answering-systems-based-on-a-tendering-.json,b9f5fa479af0dd8743305e773c5749645ffd75f52de9445675ba41d14a1b43f0,6257,S024__tendergraphrag-an-enhancement-framework-for-question-answering-systems-based-on-a-tendering-.json,670796c91204e426a109d9a5389c95e8a1090863e1ea087d7e8528b3693fb95e,5516,Chu et al. - 2025 - TenderGraphRAG an enhancement framework for question answering systems based on a tendering and bid.pdf,4aa9c83d90455d40cf06e11d38540a7a467c84b5188afefbf4300af4443da43c,11
S025,S025__ontologx-ontology-guided-knowledge-graph-extraction-from-cybersecurity-logs-with-large-langu.json,0df44e33e063be44738b5cd73684a82cbd0cb0bbdb376f7827a19caac424c880,6467,S025__ontologx-ontology-guided-knowledge-graph-extraction-from-cybersecurity-logs-with-large-langu.json,7eb47e050382fa9bf5303c0ada0ada380303a13915ac7525706ba27d4e736d86,5917,Cotti et al. - 2026 - OntoLogX ontology-guided knowledge graph extraction from cybersecurity logs with large language mod.pdf,32879b778053a7f6dc34f6929a8204d134d6226c8666184e874a69997dc1a5e4,24
S026,S026__ontology-learning-and-knowledge-graph-construction-a-comparison-of-approaches-and-their-impa.json,3d7b3ecff897d0e5a55c243acaaa6a038d1d130358e7d593a168f7b6497b5df5,6127,S026__ontology-learning-and-knowledge-graph-construction-a-comparison-of-approaches-and-their-impa.json,d198642283964ef258a23ba7c4d2f277695b761f5799217f9fe2f6329c456f2d,5426,da Cruz et al. - 2025 - Ontology learning and knowledge graph construction a comparison of approaches and their impact on R.pdf,5a8f51dc47139169eaccd7993d0c8a9f24964767857f22b0b55f9eb0c0ffe5ad,12
S027,S027__neurosymbolic-graph-enrichment-for-grounded-world-models.json,97b67d0d2d81e5e79d10d0bac22b0d8103dfba6c11c50b04f2f04c6e8cb681b1,5972,S027__neurosymbolic-graph-enrichment-for-grounded-world-models.json,c3b330af0cabdf34f8566b2e31e3a45df2717b9d9ec2382e6ac8763748f2b510,5608,De Giorgis et al. - 2025 - Neurosymbolic graph enrichment for grounded world models.pdf,f034eade3755391c37ea002b6bd4a7f20d8075dbcd22da3a015f138d371a6167,22
S028,S028__an-ontology-driven-graph-rag-for-legal-norms-a-structural-temporal-and-deterministic-approac.json,5844f3e612f001cf240d53053d77ab71d0606c124514c18ea0dabbf9e36527d3,7042,S028__an-ontology-driven-graph-rag-for-legal-norms-a-structural-temporal-and-deterministic-approac.json,88a1e31732ef693e29bcfbd759f3e77d0eec4697ffa106269f7cfdcb3b1769d6,6399,"De Martim - 2025 - An ontology-driven graph RAG for legal norms a hierarchical, temporal, and deterministic approach.pdf",2fde948a6aa0b8a32ba6ef83b5919c681aae594e15a2c67ba4795f721d1b0ac1,22
S029,S029__meaning-is-all-you-need-moving-from-token-prediction-to-narrative-reasoning.json,bc96c1c66bec62ed660f636654f3db7aaa9f37ac2168b9dea521c0d33d6815ae,6378,S029__meaning-is-all-you-need-moving-from-token-prediction-to-narrative-reasoning.json,58251ee0095b9e68ac339b0a07fae7553355da27733631b3c9989d57c2bdf515,5729,Derikiants and Mazin - 2026 - Meaning is all you need moving from token prediction to narrative reasoning.pdf,b4ced53dfa64ffea1fbffe04ba7e2b0c51a4e2c243e07ba5fcff1b00b0cdd596,18
S030,S030__extracting-core-meaning-from-legal-queries-using-semantic-technologies.json,8ff1af86df3dae8313642eab3247560237e6d30b12632be80ec451e2705c5c4f,5991,S030__extracting-core-meaning-from-legal-queries-using-semantic-technologies.json,db29a32370057e31a5d8beeaafc409c515059896854f1f33eaa0fbdf77461050,5210,Dung et al. - 2025 - Extracting core meaning from legal queries using semantic technologies.pdf,848bd96628bd943b876af55f108de79b821695d928c6fee641f8c9ff77fe5c59,14
S031,S031__ontology-grounded-retrieval-for-auditable-llm-assisted-secure-code-generation.json,7f9deac0375644011a6c385744560499aca09d6c31bd5060e23551429c7433f0,6546,S031__ontology-grounded-retrieval-for-auditable-llm-assisted-secure-code-generation.json,8ee769fd2e0c933424f7898e37afc31fe46fe32122eaeb9335a91dbcba1a08ea,6561,Farinha - 2026 - Ontology-grounded retrieval for auditable LLM-assisted secure code generation.pdf,e23bee79d63b82e6e4a201d277cbe3a5ce5ea18b3511a3e6badd91f1b24f8bfb,16
S032,S032__fair-graphrag-a-retrieval-augmented-generation-approach-for-semantic-data-analysis.json,10f49c7b26e83605ba6674978a3694eccc100c254c0b35f54d7dcc91d5b8c5ca,5878,S032__fair-graphrag-a-retrieval-augmented-generation-approach-for-semantic-data-analysis.json,65133cb2064ee840b56a45790d1986f7c99bdd39472eff7108c27499d164013e,5221,Flüh et al. - 2025 - FAIR GraphRAG a retrieval-augmented generation approach for semantic data analysis.pdf,1ac13223eb3b840cf52d76815fa498ef0be5bf85e15ad8eea32db79aa74408dc,8
S033,S033__worlddb-a-vector-graph-of-worlds-memory-engine-with-ontology-aware-write-time-reconciliation.json,db1cadb2bf96cbf4bded75f362c45f2a610f2ae0b6a48c58916eebd92b00e25b,6933,S033__worlddb-a-vector-graph-of-worlds-memory-engine-with-ontology-aware-write-time-reconciliation.json,10b3ff152d2dc23f5cbfd52b30906eeadc488f627b0241dd5bc73594bffbe430,7383,Ganesan - 2026 - WorldDB a vector graph-of-worlds memory engine with ontology-aware write-time reconciliation.pdf,ddad8666fd6341188c1571a082e3a6c67a1a9fd6a855639fa2d0bc708f690b52,16
S034,S034__design-and-implementation-of-a-semiconductor-supply-chain-knowledge-graph-for-developing-a-g.json,d59ed6da8e9cab0763c64081323a36c3933c5464ed48f8656c441c0687442778,6668,S034__design-and-implementation-of-a-semiconductor-supply-chain-knowledge-graph-for-developing-a-g.json,a9e0ee904f006ef27e30b80cfe29ee0ab06d40030f9d2f0babc5fc3200f04fe7,6155,Ham et al. - 2026 - Design and implementation of a semiconductor supply chain knowledge graph for developing a GraphRAG-.pdf,b93454b84f1655cfac40c89d7b0d09b8365f6e451bbe30350c0a48c8703c61a5,9
S035,S035__kosmos-ontology-based-knowledge-graph-scaffolding-for-medical-documentation-generation.json,fc3996a288669952dc30a23574405e4777d01210be6713acecaffd08ff7ccce6,6477,S035__kosmos-ontology-based-knowledge-graph-scaffolding-for-medical-documentation-generation.json,ec51bac0a4d9bdcb72743f321474831aa6858d96854b1667982872d9d595726e,6664,Henry and Gong - 2026 - KOSMOS ontology-based knowledge graph scaffolding for medical documentation generation.pdf,903f750024c13dbb5a6c417bbaa9555f405209a7a6756a334b6f524ed8324cb8,32
S036,S036__knowledge-graph-based-structural-safety-risk-diagnosis-and-control-of-prestressed-concrete-b.json,6f91b4894c7e2ec2d175020fa1980c5a46d7859f92cb65cd1ea7caf04099bfbb,6637,S036__knowledge-graph-based-structural-safety-risk-diagnosis-and-control-of-prestressed-concrete-b.json,346964a13beeb9bd8a32ca1ccbc2c8fe793d84f801d7dbad5af92231c59a7828,6795,Hu and Sun - 2026 - Knowledge graph-based structural safety risk diagnosis and control of prestressed concrete bridges.pdf,d4220beff0449713690812f4f1304ed2949083efdd6795ed73d6892e4d38a03e,18
S037,S037__on-device-intent-reasoning-for-smart-home-agents-via-ontology-augmented-sllms.json,896d3ba36799cd31b36b897eebbdad953ed0adfd2e5c8b983b9752d1e63daf00,5397,S037__on-device-intent-reasoning-for-smart-home-agents-via-ontology-augmented-sllms.json,7a4d51faaba440f20bf85f71689654b8f65caa7a44d8d0fbe398594b67fe074a,4671,Jeong and Woo - 2025 - On-device intent reasoning for smart home agents via ontology-augmented sLLMs.pdf,4fd240eaa4fc586751c4f89f13c13f136177de82cefcb05a7a41ad4ceddcc554,18
S038,S038__enhancing-llm-based-question-answering-through-isolated-contextual-knowledge-graphs.json,b3a1ed5d6b079ef9fbc391209051005949759426a1e23e6f19f8cc0d16476b10,6576,S038__enhancing-llm-based-question-answering-through-isolated-contextual-knowledge-graphs.json,daf1b2ea2793d089f6256168a19bfdd844e8de3aad803e838d0ccfa4906219f5,5753,Joglekar et al. - 2026 - Enhancing LLM-based question answering through isolated contextual knowledge graphs.pdf,5b6f52947c7ed3a20e59229cc984066caf1698726cb2ef473929a729c92bf453,6
S039,S039__enhancing-patient-empowerment-and-health-literacy-integrating-knowledge-graphs-with-language.json,5b3639c86a4e2303e766f99b1349cded3209e65741e1dcf788c5da0891d9a07d,6792,S039__enhancing-patient-empowerment-and-health-literacy-integrating-knowledge-graphs-with-language.json,afef4c00dfca547ca73628d6f746b04028db95fcb17c45b75eef352172d8be86,6228,Kakalou et al. - 2024 - Enhancing patient empowerment and health literacy integrating knowledge graphs with language models.pdf,78f33f6845fb9de50c41904e63043e376b55db4b71b29a5f6711e3ee6dc0319f,5
S040,S040__integrating-iot-large-language-models-and-knowledge-graphs-for-future-smart-districts-a-sema.json,7f0077a0bdd119d320195cddec24169427ef4e3bd60e23293c825844b34663a7,6153,S040__integrating-iot-large-language-models-and-knowledge-graphs-for-future-smart-districts-a-sema.json,685c8fbb8b74b09b5b6692e13d3c6fb7037099ca1cb25e673bdd79d4ac689f88,5378,"Karjou et al. - 2025 - Integrating IoT, large language models, and knowledge graphs for future smart districts a semantic.pdf",862b7aa4c12fd9c580f92513f8e742c2c480b4c11a88b4991b518e26f6598982,9
S041,S041__semantic-enrichment-of-the-quantum-cascade-laser-properties-in-text-a-knowledge-graph-genera.json,3c36d23b8991b7f7f6eb8aef27c88ca4b703c7a8de7d4b90015d8a777dad7628,7085,S041__semantic-enrichment-of-the-quantum-cascade-laser-properties-in-text-a-knowledge-graph-genera.json,cf884007c4515190b0c84775560f376bfd11a271200460271cad7a40edb7d167,6497,Kerre et al. - 2024 - Semantic enrichment of the quantum cascade laser properties in text- a knowledge graph generation ap.pdf,5d68fc1d9f26a414f21bdf4b3134722340a8bb7d5818911e9ff6afbb123ffee3,21
S042,S042__from-human-experts-to-machines-an-llm-supported-approach-to-ontology-and-knowledge-graph-con.json,5fd776ba4e358a9cc93aedd3d5fa863939b47241076208f630397bc300c1f934,5620,S042__from-human-experts-to-machines-an-llm-supported-approach-to-ontology-and-knowledge-graph-con.json,24fb3d98fb22d1ee8b338f3912d49ae48353dcf4e7cef135b7fc6db3cdc125e3,5716,Kommineni et al. - 2024 - From human experts to machines an LLM supported approach to ontology and knowledge graph constructi.pdf,8fb8621f32d491b832370317633647fd402b054609e9b031652a646ef6b0320d,10
S043,S043__naturekg-an-ontology-and-knowledge-graph-for-nature-finance-with-a-text2cypher-application.json,466a493f154fa053b9032376c1a2cb86c37d894c580b3f18c68356b2eff97800,6539,S043__naturekg-an-ontology-and-knowledge-graph-for-nature-finance-with-a-text2cypher-application.json,f0401554f17be945fc244887d37c40d08ef912f6b604cecadc811fc7cb756f62,6144,Kushwaha et al. - 2025 - NatureKG an ontology and knowledge graph for nature finance with a Text2Cypher application.pdf,d08ce54e858a3dcf008e3734961d9f5cf67d14ca667b4e80859c393f9ffb9393,11
S044,S044__building-a-knowledge-graph-to-enrich-chatgpt-responses-in-manufacturing-service-discovery.json,afb7cf632f070ef2ca6e64fb36a00b481b31ecdfc687ebbbe80e9bd6f21c72ed,5828,S044__building-a-knowledge-graph-to-enrich-chatgpt-responses-in-manufacturing-service-discovery.json,bca056f9156618ccfafa8995d273531d5ddf57c7315b910b22b38513ca60d53a,4867,Li and Starly - 2024 - Building a knowledge graph to enrich ChatGPT responses in manufacturing service discovery.pdf,108c608db2fd7aa168b0bb600078ae0266b03ac37dea35f552c87db377158590,27
S045,S045__a-knowledge-graph-and-large-language-model-based-question-answering-system-for-aviation-huma.json,0cde3a698e16e6b95c4883b5445c1c8545d9b313724d627c5b5bd7e2f37e77ae,6041,S045__a-knowledge-graph-and-large-language-model-based-question-answering-system-for-aviation-huma.json,2f53ded4746dc021620c18ee70deec04ba17ff14c6cf5b8b7c8d77a1ccb00cfa,5663,Li et al. - 2025 - A knowledge graph and large language model-based question answering system for aviation human factor.pdf,13a110424cafa3f94be93a532fe2b98c51d54a540b4a65ee6f4a2f326a7f0b56,6
S046,S046__agentic-kgr-co-evolutionary-knowledge-graph-construction-through-multi-agent-reinforcement-l.json,def9ab41a071199d19a727c92072f8ba1e01443611448280aae722ebd1457983,5999,S046__agentic-kgr-co-evolutionary-knowledge-graph-construction-through-multi-agent-reinforcement-l.json,4d44b11459ede802a29032811c3936687ba3507654c08e384a008ab065a8b52c,5408,Li et al. - 2025 - Agentic-KGR Co-evolutionary knowledge graph construction through multi-agent reinforcement learning.pdf,8536ad47bd82f8bfdfd42c729ba3d54e5b5b86a021013e60a8a778d3518410e1,41
S047,S047__artificial-intelligence-leading-traditional-chinese-medicine-higher-education-digitalization.json,367d9902ae6276ef1a61c27d5ed4cd2eb4dfd2a83ebe88b4d88394855c2ed777,6481,S047__artificial-intelligence-leading-traditional-chinese-medicine-higher-education-digitalization.json,ab4d2f3701775a021b6fe70e537e2fde311fe6b2213f96a39ff5c2e867a5ffef,6274,Li et al. - 2025 - Artificial intelligence leading traditional chinese medicine higher education digitalization develop.pdf,e2ade3fab255f0b85e0313102072f2902bb40d57efee4c935d85f647b5249a86,6
S048,S048__integrating-graph-retrieval-augmented-generation-with-large-language-models-for-supplier-dis.json,caaaeed93784bc7c288e843c1623626d8b2ef9852117a3bbf5f18efbf00a1f61,6106,S048__integrating-graph-retrieval-augmented-generation-with-large-language-models-for-supplier-dis.json,44a0224dc1618049776997d38fd7848b390e5ca58a113aa8663d7a328fa9e5d7,4973,Li et al. - 2025 - Integrating graph retrieval-augmented generation with large language models for supplier discovery.pdf,35396916765ad3a76e1f9715fa936d160f5253f1d74f151b44df05d981dcbc73,12
S049,S049__research-on-the-construction-and-application-of-a-water-conservancy-facility-safety-knowledg.json,d2dd8d461cd97e8ccc85b5fa41b2a90c12b1c48087329d8f117072ad3dabef7e,6562,S049__research-on-the-construction-and-application-of-a-water-conservancy-facility-safety-knowledg.json,fe661d7e2a40783ed6c3c19877bddeb89bd6c3adbb8c54223384be683d28c722,5900,Li et al. - 2026 - Research on the construction and application of a water conservancy facility safety knowledge graph.pdf,ea973224f671e09b0c11dde0d2131c8e9e891e68fbffc4e567a25415f3e8be2b,20
S050,S050__distributed-incremental-ontology-reasoning-over-dynamic-t-boxes.json,c01552b4f2ef4ccd0eb73c206e1ec6c10e53373d60d17bbe85226569373b3468,6288,S050__distributed-incremental-ontology-reasoning-over-dynamic-t-boxes.json,63cf0d5da2fa53a83482b44ed523e827bcd9a85bdd07dc28960cdccc6d727631,5972,Lima Carneiro Alves De et al. - 2024 - Distributed incremental ontology reasoning over dynamic T-boxes.pdf,b452f6f63bd4c2088327c19ff42a9866555f52f6c5acc5fbcf7ca9cc36fcee49,6
